epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1517.55,0.47025,0.32086,0.85589,0.9994,1,0.995,0.91935,0.42451,0.26778,0.82519,0.0013796,0.0013796,0.0013796
96,1533.54,0.48266,0.32579,0.85925,0.99941,1,0.995,0.89506,0.43949,0.28242,0.83299,0.001373,0.001373,0.001373
97,1549.46,0.47166,0.30928,0.84336,0.99935,1,0.995,0.90798,0.43079,0.28451,0.82349,0.0013664,0.0013664,0.0013664
98,1565.44,0.48156,0.30213,0.84081,0.99932,1,0.995,0.92165,0.4217,0.29712,0.82183,0.0013598,0.0013598,0.0013598
99,1581.45,0.47414,0.31873,0.85804,0.99942,1,0.995,0.91668,0.40879,0.27486,0.82045,0.0013532,0.0013532,0.0013532
100,1597.49,0.48749,0.31725,0.84962,0.99946,1,0.995,0.92436,0.42081,0.2826,0.82239,0.0013466,0.0013466,0.0013466
101,1613.47,0.46997,0.30615,0.85678,0.99944,1,0.995,0.92156,0.40775,0.27715,0.82195,0.00134,0.00134,0.00134
102,1629.45,0.46149,0.30427,0.85987,0.99944,1,0.995,0.924,0.40593,0.27076,0.82028,0.0013334,0.0013334,0.0013334
103,1645.45,0.46685,0.30616,0.85804,0.99944,1,0.995,0.92211,0.40837,0.25691,0.81701,0.0013268,0.0013268,0.0013268
104,1661.49,0.47583,0.30308,0.85,0.99946,1,0.995,0.92127,0.43689,0.2762,0.82275,0.0013202,0.0013202,0.0013202
105,1677.39,0.4758,0.31479,0.85383,0.99945,1,0.995,0.91918,0.4225,0.2658,0.82167,0.0013136,0.0013136,0.0013136
106,1693.31,0.47163,0.30002,0.84848,0.99944,1,0.995,0.89902,0.44559,0.27821,0.83098,0.001307,0.001307,0.001307
107,1709.27,0.46351,0.29871,0.84073,0.99943,1,0.995,0.92242,0.41601,0.25853,0.82254,0.0013004,0.0013004,0.0013004
108,1725.27,0.46702,0.30031,0.84833,0.99942,1,0.995,0.92907,0.41305,0.27057,0.82247,0.0012938,0.0012938,0.0012938
109,1741.18,0.48866,0.30487,0.86651,0.99943,1,0.995,0.91472,0.43276,0.26535,0.8241,0.0012872,0.0012872,0.0012872
110,1757.09,0.45943,0.2966,0.85746,0.99943,1,0.995,0.914,0.42559,0.26819,0.82322,0.0012806,0.0012806,0.0012806
111,1773.07,0.46017,0.29872,0.84861,1,1,0.995,0.92582,0.42293,0.27551,0.82432,0.001274,0.001274,0.001274
112,1789.03,0.47202,0.30498,0.85854,0.99943,1,0.995,0.91612,0.44365,0.26958,0.82406,0.0012674,0.0012674,0.0012674
113,1804.89,0.45797,0.30101,0.84804,0.99944,1,0.995,0.91707,0.4063,0.2646,0.82067,0.0012608,0.0012608,0.0012608
114,1820.86,0.46877,0.2995,0.84318,0.99943,1,0.995,0.92503,0.42002,0.26278,0.81808,0.0012542,0.0012542,0.0012542
115,1836.76,0.48305,0.32324,0.84932,0.99942,1,0.995,0.91551,0.41811,0.28088,0.8209,0.0012476,0.0012476,0.0012476
116,1852.71,0.45688,0.30255,0.85735,0.99945,1,0.995,0.91731,0.41633,0.27066,0.82158,0.001241,0.001241,0.001241
117,1868.59,0.45673,0.29065,0.84108,1,1,0.995,0.9267,0.41328,0.26786,0.82054,0.0012344,0.0012344,0.0012344
118,1884.54,0.45139,0.30024,0.85264,0.99944,1,0.995,0.91119,0.44954,0.26928,0.82439,0.0012278,0.0012278,0.0012278
119,1900.58,0.4573,0.29488,0.841,0.99942,1,0.995,0.91728,0.42402,0.27809,0.82404,0.0012212,0.0012212,0.0012212
